;Scopy version,f4beeb1
;Exported on,dimanche octobre 13/10/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
539,-2.661,3.00144,3.20276
540,-2.66,3.00144,3.22106
541,-2.659,3.00144,3.22106
542,-2.658,3.03804,3.22106
543,-2.657,3.01974,3.25766
544,-2.656,3.01974,3.23936
545,-2.655,3.03804,3.23936
546,-2.654,3.00144,3.23936
547,-2.653,3.00144,3.20276
548,-2.652,3.00144,3.20276
549,-2.651,3.00144,3.20276
550,-2.65,3.00144,3.20276
551,-2.649,3.01974,3.22106
552,-2.648,2.98314,3.18446
553,-2.647,2.98314,3.18446
554,-2.646,2.98314,3.18446
555,-2.645,3.00144,3.20276
556,-2.644,3.00144,3.20276
557,-2.643,3.00144,3.20276
558,-2.642,3.00144,3.20276
559,-2.641,3.00144,3.20276
560,-2.64,3.00144,3.22106
561,-2.639,3.01974,3.22106
562,-2.638,3.01974,3.23936
563,-2.637,3.01974,3.23936
564,-2.636,3.01974,3.23936
565,-2.635,3.03804,3.23936
566,-2.634,3.00144,3.23936
567,-2.633,3.00144,3.20276
568,-2.632,3.00144,3.20276
569,-2.631,3.00144,3.20276
570,-2.63,3.00144,3.20276
571,-2.629,3.01974,3.22106
572,-2.628,2.98314,3.18446
573,-2.627,2.98314,3.18446
574,-2.626,2.98314,3.18446
575,-2.625,3.00144,3.20276
576,-2.624,3.00144,3.20276
577,-2.623,3.00144,3.20276
578,-2.622,3.00144,3.20276
579,-2.621,3.00144,3.20276
580,-2.62,3.00144,3.22106
581,-2.619,3.01974,3.22106
582,-2.618,3.01974,3.23936
583,-2.617,3.01974,3.23936
584,-2.616,3.01974,3.23936
585,-2.615,3.03804,3.23936
586,-2.614,3.00144,3.23936
587,-2.613,3.00144,3.20276
588,-2.612,3.00144,3.20276
589,-2.611,3.00144,3.20276
590,-2.61,3.00144,3.20276
591,-2.609,3.01974,3.22106
592,-2.608,2.98314,3.18446
593,-2.607,2.98314,3.18446
594,-2.606,2.98314,3.18446
595,-2.605,3.00144,3.20276
596,-2.604,3.00144,3.20276
597,-2.603,3.00144,3.20276
598,-2.602,3.00144,3.20276
599,-2.601,3.00144,3.20276
600,-2.6,3.00144,3.22106
601,-2.599,3.01974,3.22106
602,-2.598,3.01974,3.23936
603,-2.597,3.01974,3.23936
604,-2.596,3.01974,3.23936
605,-2.595,3.03804,3.23936
606,-2.594,3.00144,3.23936
607,-2.593,3.00144,3.20276
608,-2.592,3.00144,3.20276
609,-2.591,3.00144,3.20276
610,-2.59,3.00144,3.20276
611,-2.589,3.00144,3.20276
612,-2.588,3.01974,3.20276
613,-2.587,2.98314,3.18446
614,-2.586,2.98314,3.18446
615,-2.585,3.00144,3.20276
616,-2.584,3.01974,3.22106
617,-2.583,2.98314,3.18446
618,-2.582,3.00144,3.20276
619,-2.581,3.00144,3.20276
620,-2.58,3.00144,3.22106
621,-2.579,3.01974,3.22106
622,-2.578,3.01974,3.23936
623,-2.577,3.01974,3.23936
624,-2.576,3.01974,3.23936
625,-2.575,3.03804,3.23936
626,-2.574,3.00144,3.23936
627,-2.573,3.00144,3.20276
628,-2.572,3.00144,3.20276
629,-2.571,3.00144,3.20276
630,-2.57,3.00144,3.20276
631,-2.569,3.00144,3.20276
632,-2.568,3.01974,3.20276
633,-2.567,2.98314,3.18446
634,-2.566,2.98314,3.18446
635,-2.565,3.00144,3.20276
636,-2.564,3.01974,3.22106
637,-2.563,2.98314,3.18446
638,-2.562,3.00144,3.18446
639,-2.561,3.00144,3.22106
640,-2.56,3.00144,3.22106
641,-2.559,3.01974,3.22106
642,-2.558,3.01974,3.23936
643,-2.557,3.01974,3.23936
644,-2.556,3.01974,3.23936
645,-2.555,3.03804,3.23936
646,-2.554,3.00144,3.23936
647,-2.553,3.00144,3.20276
648,-2.552,3.00144,3.20276
649,-2.551,3.00144,3.20276
650,-2.55,3.00144,3.20276
651,-2.549,3.00144,3.22106
652,-2.548,2.98314,3.18446
653,-2.547,2.98314,3.18446
654,-2.546,2.98314,3.16615
655,-2.545,3.00144,3.18446
656,-2.544,3.00144,3.22106
657,-2.543,3.00144,3.20276
658,-2.542,3.00144,3.20276
659,-2.541,3.00144,3.20276
660,-2.54,3.00144,3.22106
661,-2.539,3.01974,3.22106
662,-2.538,3.01974,3.23936
663,-2.537,3.01974,3.23936
664,-2.536,3.01974,3.23936
665,-2.535,3.03804,3.23936
666,-2.534,3.00144,3.23936
667,-2.533,3.00144,3.20276
