;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
766,0.766,0.253115,-0.0549044
767,0.767,0.253115,-0.0549044
768,0.768,0.253115,0
769,0.769,0.253115,0
770,0.77,0.253115,0
771,0.771,0.253115,0
772,0.772,0.253115,-0.0549044
773,0.773,0.253115,-0.0549044
774,0.774,0.253115,-0.0549044
775,0.775,0.253115,-0.0549044
776,0.776,0.253115,-0.0549044
777,0.777,0.253115,-0.0549044
778,0.778,0.253115,-0.0549044
779,0.779,0.253115,-0.0549044
780,0.78,0.253115,-0.0549044
781,0.781,0.253115,-0.0549044
782,0.782,0.253115,-0.0549044
783,0.783,0.253115,-0.0549044
784,0.784,0.253115,-0.0549044
785,0.785,0.253115,-0.0549044
786,0.786,0.253115,-0.0549044
787,0.787,0.253115,0
788,0.788,0.253115,0
789,0.789,0.253115,0
790,0.79,0.253115,0
